file,label,group,set
new_dataset_raw\Dry\images (3)_resized_rotated_180_flipped_vertical.jpg,dry,images (3),train
new_dataset_raw\Dry\images (3)_resized_rotated_90_flipped_horizontal.jpg,dry,images (3),train
new_dataset_raw\Dry\images (3)_resized_rotated_90_flipped_vertical.jpg,dry,images (3),train
new_dataset_raw\Dry\images (30)_resized_flipped_vertical.jpg,dry,images (30),train
new_dataset_raw\Dry\images (30)_resized_resized.jpg,dry,images (30),train
new_dataset_raw\Dry\images (30)_resized_rotated_180.jpg,dry,images (30),train
new_dataset_raw\Dry\images (30)_resized_rotated_180_flipped_horizontal.jpg,dry,images (30),train
new_dataset_raw\Dry\images (30)_resized_rotated_90.jpg,dry,images (30),train
new_dataset_raw\Dry\images (30)_resized_rotated_90_flipped_horizontal.jpg,dry,images (30),train
new_dataset_raw\Dry\images (30)_resized_rotated_90_flipped_vertical.jpg,dry,images (30),train
new_dataset_raw\Dry\images (31)_resized_flipped_vertical.jpg,dry,images (31),train
new_dataset_raw\Dry\images (31)_resized_resized.jpg,dry,images (31),train
new_dataset_raw\Dry\images (31)_resized_rotated_180.jpg,dry,images (31),train
new_dataset_raw\Dry\images (31)_resized_rotated_180_flipped_horizontal.jpg,dry,images (31),train
new_dataset_raw\Dry\images (31)_resized_rotated_180_flipped_vertical.jpg,dry,images (31),train
new_dataset_raw\Dry\images (31)_resized_rotated_90_flipped_horizontal.jpg,dry,images (31),train
new_dataset_raw\Dry\images (31)_resized_rotated_90_flipped_vertical.jpg,dry,images (31),train
new_dataset_raw\Dry\images (32)_resized_flipped_horizontal.jpg,dry,images (32),train
new_dataset_raw\Dry\images (32)_resized_flipped_vertical.jpg,dry,images (32),train
new_dataset_raw\Dry\images (32)_resized_resized.jpg,dry,images (32),train
new_dataset_raw\Dry\images (32)_resized_rotated_180_flipped_horizontal.jpg,dry,images (32),train
new_dataset_raw\Dry\images (32)_resized_rotated_180_flipped_vertical.jpg,dry,images (32),train
new_dataset_raw\Dry\images (32)_resized_rotated_90_flipped_vertical.jpg,dry,images (32),train
new_dataset_raw\Dry\images (33)_resized_flipped_horizontal.jpg,dry,images (33),train
new_dataset_raw\Dry\images (33)_resized_flipped_vertical.jpg,dry,images (33),train
new_dataset_raw\Dry\images (33)_resized_resized.jpg,dry,images (33),train
new_dataset_raw\Dry\images (33)_resized_rotated_180.jpg,dry,images (33),train
new_dataset_raw\Dry\images (33)_resized_rotated_90.jpg,dry,images (33),train
new_dataset_raw\Dry\images (33)_resized_rotated_90_flipped_horizontal.jpg,dry,images (33),train
new_dataset_raw\Dry\images (33)_resized_rotated_90_flipped_vertical.jpg,dry,images (33),train
new_dataset_raw\Dry\images (35)_resized_flipped_horizontal.jpg,dry,images (35),train
new_dataset_raw\Dry\images (35)_resized_flipped_vertical.jpg,dry,images (35),train
new_dataset_raw\Dry\images (35)_resized_rotated_180.jpg,dry,images (35),train
new_dataset_raw\Dry\images (35)_resized_rotated_180_flipped_horizontal.jpg,dry,images (35),train
new_dataset_raw\Dry\images (35)_resized_rotated_180_flipped_vertical.jpg,dry,images (35),train
new_dataset_raw\Dry\images (35)_resized_rotated_90_flipped_vertical.jpg,dry,images (35),train
new_dataset_raw\Dry\images (36)_resized_flipped_horizontal.jpg,dry,images (36),train
new_dataset_raw\Dry\images (36)_resized_flipped_vertical.jpg,dry,images (36),train
new_dataset_raw\Dry\images (36)_resized_resized.jpg,dry,images (36),train
new_dataset_raw\Dry\images (36)_resized_rotated_90.jpg,dry,images (36),train
new_dataset_raw\Dry\images (36)_resized_rotated_90_flipped_horizontal.jpg,dry,images (36),train
new_dataset_raw\Dry\images (36)_resized_rotated_90_flipped_vertical.jpg,dry,images (36),train
new_dataset_raw\Dry\images (39)_resized_flipped_horizontal.jpg,dry,images (39),train
new_dataset_raw\Dry\images (39)_resized_flipped_vertical.jpg,dry,images (39),train
new_dataset_raw\Dry\images (39)_resized_resized.jpg,dry,images (39),train
new_dataset_raw\Dry\images (39)_resized_rotated_180_flipped_vertical.jpg,dry,images (39),train
new_dataset_raw\Dry\images (39)_resized_rotated_90_flipped_horizontal.jpg,dry,images (39),train
new_dataset_raw\Dry\images (39)_resized_rotated_90_flipped_vertical.jpg,dry,images (39),train
new_dataset_raw\Dry\images (4)_resized_flipped_horizontal.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_flipped_vertical.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_resized.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_rotated_180_flipped_horizontal.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_rotated_180_flipped_vertical.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_rotated_90.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_rotated_90_flipped_horizontal.jpg,dry,images (4),train
new_dataset_raw\Dry\images (4)_resized_rotated_90_flipped_vertical.jpg,dry,images (4),train
new_dataset_raw\Dry\images (40)_resized_flipped_horizontal.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_flipped_vertical.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_resized.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_rotated_180_flipped_horizontal.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_rotated_180_flipped_vertical.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_rotated_90.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_rotated_90_flipped_horizontal.jpg,dry,images (40),train
new_dataset_raw\Dry\images (40)_resized_rotated_90_flipped_vertical.jpg,dry,images (40),train
new_dataset_raw\Dry\images (41)_resized_flipped_horizontal.jpg,dry,images (41),train
new_dataset_raw\Dry\images (41)_resized_rotated_180.jpg,dry,images (41),train
new_dataset_raw\Dry\images (41)_resized_rotated_180_flipped_horizontal.jpg,dry,images (41),train
new_dataset_raw\Dry\images (41)_resized_rotated_180_flipped_vertical.jpg,dry,images (41),train
new_dataset_raw\Dry\images (41)_resized_rotated_90.jpg,dry,images (41),train
new_dataset_raw\Dry\images (41)_resized_rotated_90_flipped_horizontal.jpg,dry,images (41),train
new_dataset_raw\Dry\images (41)_resized_rotated_90_flipped_vertical.jpg,dry,images (41),train
new_dataset_raw\Dry\images (42)_resized_flipped_vertical.jpg,dry,images (42),train
new_dataset_raw\Dry\images (42)_resized_resized.jpg,dry,images (42),train
new_dataset_raw\Dry\images (42)_resized_rotated_180_flipped_horizontal.jpg,dry,images (42),train
new_dataset_raw\Dry\images (42)_resized_rotated_180_flipped_vertical.jpg,dry,images (42),train
new_dataset_raw\Dry\images (42)_resized_rotated_90.jpg,dry,images (42),train
new_dataset_raw\Dry\images (42)_resized_rotated_90_flipped_horizontal.jpg,dry,images (42),train
new_dataset_raw\Dry\images (43)_resized_flipped_horizontal.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_flipped_vertical.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_resized.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_rotated_180.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_rotated_180_flipped_horizontal.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_rotated_180_flipped_vertical.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_rotated_90_flipped_horizontal.jpg,dry,images (43),train
new_dataset_raw\Dry\images (43)_resized_rotated_90_flipped_vertical.jpg,dry,images (43),train
new_dataset_raw\Dry\images (5)_resized_flipped_horizontal.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_flipped_vertical.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_resized.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_rotated_180.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_rotated_180_flipped_horizontal.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_rotated_180_flipped_vertical.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_rotated_90.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_rotated_90_flipped_horizontal.jpg,dry,images (5),train
new_dataset_raw\Dry\images (5)_resized_rotated_90_flipped_vertical.jpg,dry,images (5),train
new_dataset_raw\Dry\images (7)_resized_flipped_horizontal.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_flipped_vertical.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_resized.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_rotated_180.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_rotated_180_flipped_horizontal.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_rotated_180_flipped_vertical.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_rotated_90_flipped_horizontal.jpg,dry,images (7),train
new_dataset_raw\Dry\images (7)_resized_rotated_90_flipped_vertical.jpg,dry,images (7),train
new_dataset_raw\Dry\images (8)_resized_flipped_horizontal.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_flipped_vertical.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_resized.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_rotated_180_flipped_horizontal.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_rotated_180_flipped_vertical.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_rotated_90.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_rotated_90_flipped_horizontal.jpg,dry,images (8),train
new_dataset_raw\Dry\images (8)_resized_rotated_90_flipped_vertical.jpg,dry,images (8),train
new_dataset_raw\Dry\images (9)_resized_flipped_horizontal.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_flipped_vertical.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_resized.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_rotated_180.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_rotated_180_flipped_horizontal.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_rotated_180_flipped_vertical.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_rotated_90.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_rotated_90_flipped_horizontal.jpg,dry,images (9),train
new_dataset_raw\Dry\images (9)_resized_rotated_90_flipped_vertical.jpg,dry,images (9),train
new_dataset_raw\Dry\images_resized_resized.jpg,dry,images,train
new_dataset_raw\Dry\images_resized_rotated_180_flipped_horizontal.jpg,dry,images,train
new_dataset_raw\Dry\images_resized_rotated_180_flipped_vertical.jpg,dry,images,train
new_dataset_raw\Dry\images_resized_rotated_90.jpg,dry,images,train
new_dataset_raw\Dry\images_resized_rotated_90_flipped_horizontal.jpg,dry,images,train
new_dataset_raw\Dry\images_resized_rotated_90_flipped_vertical.jpg,dry,images,train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_flipped_vertical.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_resized.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_rotated_180.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_rotated_180_flipped_horizontal.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_rotated_90.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_rotated_90_flipped_horizontal.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_rotated_90_flipped_vertical.jpg,dry,Prendre soin d’une peau sèche (2),train
new_dataset_raw\Normal\image_101.jpg,normal,image_101,train
new_dataset_raw\Normal\image_104.jpg,normal,image_104,train
new_dataset_raw\Normal\image_105.jpg,normal,image_105,train
new_dataset_raw\Normal\image_106.jpg,normal,image_106,train
new_dataset_raw\Normal\image_107.jpg,normal,image_107,train
new_dataset_raw\Normal\image_11.jpg,normal,image_11,train
new_dataset_raw\Normal\image_117.jpg,normal,image_117,train
new_dataset_raw\Normal\image_118.jpg,normal,image_118,train
new_dataset_raw\Normal\image_119.jpg,normal,image_119,train
new_dataset_raw\Normal\image_12.jpg,normal,image_12,train
new_dataset_raw\Normal\image_120.jpg,normal,image_120,train
new_dataset_raw\Normal\image_122.jpg,normal,image_122,train
new_dataset_raw\Normal\image_123.jpg,normal,image_123,train
new_dataset_raw\Normal\image_129.jpg,normal,image_129,train
new_dataset_raw\Normal\image_13.jpg,normal,image_13,train
new_dataset_raw\Normal\image_130.jpg,normal,image_130,train
new_dataset_raw\Normal\image_132.jpg,normal,image_132,train
new_dataset_raw\Normal\image_133.jpg,normal,image_133,train
new_dataset_raw\Normal\image_134.jpg,normal,image_134,train
new_dataset_raw\Normal\image_135.jpg,normal,image_135,train
new_dataset_raw\Normal\image_136.jpg,normal,image_136,train
new_dataset_raw\Normal\image_137.jpg,normal,image_137,train
new_dataset_raw\Normal\image_141.jpg,normal,image_141,train
new_dataset_raw\Normal\image_145.jpg,normal,image_145,train
new_dataset_raw\Normal\image_146.jpg,normal,image_146,train
new_dataset_raw\Normal\image_147.jpg,normal,image_147,train
new_dataset_raw\Normal\image_148.jpg,normal,image_148,train
new_dataset_raw\Normal\image_149.jpg,normal,image_149,train
new_dataset_raw\Normal\image_154.jpg,normal,image_154,train
new_dataset_raw\Normal\image_155.jpg,normal,image_155,train
new_dataset_raw\Normal\image_157.jpg,normal,image_157,train
new_dataset_raw\Normal\image_161.jpg,normal,image_161,train
new_dataset_raw\Normal\image_168.jpg,normal,image_168,train
new_dataset_raw\Normal\image_173.jpg,normal,image_173,train
new_dataset_raw\Normal\image_174.jpg,normal,image_174,train
new_dataset_raw\Normal\image_179.jpg,normal,image_179,train
new_dataset_raw\Normal\image_180.jpg,normal,image_180,train
new_dataset_raw\Normal\image_182.jpg,normal,image_182,train
new_dataset_raw\Normal\image_183.jpg,normal,image_183,train
new_dataset_raw\Normal\image_184.jpg,normal,image_184,train
new_dataset_raw\Normal\image_186.jpg,normal,image_186,train
new_dataset_raw\Normal\image_19.jpg,normal,image_19,train
new_dataset_raw\Normal\image_192.jpg,normal,image_192,train
new_dataset_raw\Normal\image_193.jpg,normal,image_193,train
new_dataset_raw\Normal\image_194.jpg,normal,image_194,train
new_dataset_raw\Normal\image_195.jpg,normal,image_195,train
new_dataset_raw\Normal\image_196.jpg,normal,image_196,train
new_dataset_raw\Normal\image_197.jpg,normal,image_197,train
new_dataset_raw\Normal\image_198.jpg,normal,image_198,train
new_dataset_raw\Normal\image_20.jpg,normal,image_20,train
new_dataset_raw\Normal\image_204.jpg,normal,image_204,train
new_dataset_raw\Normal\image_206.jpg,normal,image_206,train
new_dataset_raw\Normal\image_207.jpg,normal,image_207,train
new_dataset_raw\Normal\image_208.jpg,normal,image_208,train
new_dataset_raw\Normal\image_209.jpg,normal,image_209,train
new_dataset_raw\Normal\image_21.jpg,normal,image_21,train
new_dataset_raw\Normal\image_210.jpg,normal,image_210,train
new_dataset_raw\Normal\image_211.jpg,normal,image_211,train
new_dataset_raw\Normal\image_212.jpg,normal,image_212,train
new_dataset_raw\Normal\image_217.jpg,normal,image_217,train
new_dataset_raw\Normal\image_218.jpg,normal,image_218,train
new_dataset_raw\Normal\image_219.jpg,normal,image_219,train
new_dataset_raw\Normal\image_220.jpg,normal,image_220,train
new_dataset_raw\Normal\image_221.jpg,normal,image_221,train
new_dataset_raw\Normal\image_222.jpg,normal,image_222,train
new_dataset_raw\Normal\image_224.jpg,normal,image_224,train
new_dataset_raw\Normal\image_225.jpg,normal,image_225,train
new_dataset_raw\Normal\image_229.jpg,normal,image_229,train
new_dataset_raw\Normal\image_230.jpg,normal,image_230,train
new_dataset_raw\Normal\image_232.jpg,normal,image_232,train
new_dataset_raw\Normal\image_233.jpg,normal,image_233,train
new_dataset_raw\Normal\image_234.jpg,normal,image_234,train
new_dataset_raw\Normal\image_235.jpg,normal,image_235,train
new_dataset_raw\Normal\image_24.jpg,normal,image_24,train
new_dataset_raw\Normal\image_241.jpg,normal,image_241,train
new_dataset_raw\Normal\image_243.jpg,normal,image_243,train
new_dataset_raw\Normal\image_244.jpg,normal,image_244,train
new_dataset_raw\Normal\image_246.jpg,normal,image_246,train
new_dataset_raw\Normal\image_247.jpg,normal,image_247,train
new_dataset_raw\Normal\image_248.jpg,normal,image_248,train
new_dataset_raw\Normal\image_249.jpg,normal,image_249,train
new_dataset_raw\Normal\image_25.jpg,normal,image_25,train
new_dataset_raw\Normal\image_253.jpg,normal,image_253,train
new_dataset_raw\Normal\image_254.jpg,normal,image_254,train
new_dataset_raw\Normal\image_256.jpg,normal,image_256,train
new_dataset_raw\Normal\image_257.jpg,normal,image_257,train
new_dataset_raw\Normal\image_258.jpg,normal,image_258,train
new_dataset_raw\Normal\image_259.jpg,normal,image_259,train
new_dataset_raw\Normal\image_266.jpg,normal,image_266,train
new_dataset_raw\Normal\image_267.jpg,normal,image_267,train
new_dataset_raw\Normal\image_269.jpg,normal,image_269,train
new_dataset_raw\Normal\image_270.jpg,normal,image_270,train
new_dataset_raw\Normal\image_271.jpg,normal,image_271,train
