set,file,label,path
train,image_575 - Copy_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_575 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,image_353.jpg,normal,new_dataset_raw\Normal\image_353.jpg
train,image_575 - Copy_resized_rotated_90_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_575 - Copy_resized_rotated_90_flipped_vertical.jpg
train,istockphoto-1446819788-612x612_resized_rotated_90_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\istockphoto-1446819788-612x612_resized_rotated_90_flipped_horizontal.jpg
train,image_22_resized_rotated_180.jpg,sensitive,new_dataset_raw\Sensitive\image_22_resized_rotated_180.jpg
train,c47_resized_rotated_180_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\c47_resized_rotated_180_flipped_horizontal.jpg
train,images (17)_resized_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (17)_resized_flipped_horizontal.jpg
train,image_664_resized_rotated_90_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_664_resized_rotated_90_flipped_vertical.jpg
train,image_147.jpg,normal,new_dataset_raw\Normal\image_147.jpg
train,image_81.jpg,normal,new_dataset_raw\Normal\image_81.jpg
train,images (19)_resized_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (19)_resized_flipped_vertical.jpg
train,image_735_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_735_resized_flipped_horizontal.jpg
train,image_290_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_290_resized_rotated_180_flipped_vertical.jpg
train,image_281_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_281_resized_rotated_180_flipped_vertical.jpg
train,images (4)_resized_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (4)_resized_flipped_vertical.jpg
train,image_413 - Copy_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_413 - Copy_resized_flipped_vertical.jpg
train,Screenshot 2023-05-26 204612_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\Screenshot 2023-05-26 204612_resized_flipped_vertical.jpg
train,image_80.jpg,normal,new_dataset_raw\Normal\image_80.jpg
train,image_432 - Copy_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_432 - Copy_resized_flipped_vertical.jpg
train,image_337.jpg,normal,new_dataset_raw\Normal\image_337.jpg
train,image_406 - Copy_resized_rotated_90.jpg,sensitive,new_dataset_raw\Sensitive\image_406 - Copy_resized_rotated_90.jpg
train,image_613_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_613_resized_rotated_90_flipped_vertical.jpg
train,image_608_resized_rotated_180.jpg,sensitive,new_dataset_raw\Sensitive\image_608_resized_rotated_180.jpg
train,istockphoto-1401300991-612x612_resized_resized.jpg,oily,new_dataset_raw\Oily\istockphoto-1401300991-612x612_resized_resized.jpg
train,istockphoto-828754502-612x612_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\istockphoto-828754502-612x612_resized_rotated_90_flipped_vertical.jpg
train,image_301_resized_resized.jpg,sensitive,new_dataset_raw\Sensitive\image_301_resized_resized.jpg
train,acne-pustular-20_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\acne-pustular-20_resized_rotated_180_flipped_vertical.jpg
train,image_149_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_149_resized_flipped_vertical.jpg
train,images (35)_resized_rotated_90_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (35)_resized_rotated_90_flipped_vertical.jpg
train,image_674_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_674_resized_flipped_vertical.jpg
train,images (25)_resized_rotated_180.jpg,dry,new_dataset_raw\Dry\images (25)_resized_rotated_180.jpg
train,image_663_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_663_resized_flipped_vertical.jpg
train,images (8)_resized_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (8)_resized_flipped_horizontal.jpg
train,images (33)_resized_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (33)_resized_flipped_vertical.jpg
train,image_557 - Copy_resized_resized.jpg,sensitive,new_dataset_raw\Sensitive\image_557 - Copy_resized_resized.jpg
train,image_507 - Copy_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_507 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,Prendre soin d’une peau sèche (2)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\Prendre soin d’une peau sèche (2)_resized_rotated_180_flipped_horizontal.jpg
train,acne-pustular-21_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\acne-pustular-21_resized_rotated_180_flipped_horizontal.jpg
train,image_398 - Copy_resized_rotated_180_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_398 - Copy_resized_rotated_180_flipped_vertical.jpg
train,oily(64)_resized_rotated_180_flipped_vertical.jpg,oily,new_dataset_raw\Oily\oily(64)_resized_rotated_180_flipped_vertical.jpg
train,images (2)_resized_rotated_180.jpg,dry,new_dataset_raw\Dry\images (2)_resized_rotated_180.jpg
train,images (7)_resized_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (7)_resized_flipped_vertical.jpg
train,image_316 - Copy_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_316 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,image_678_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_678_resized_rotated_180_flipped_horizontal.jpg
train,images (9)_resized_rotated_90.jpg,dry,new_dataset_raw\Dry\images (9)_resized_rotated_90.jpg
train,image_314 - Copy_resized_rotated_90_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_314 - Copy_resized_rotated_90_flipped_horizontal.jpg
train,image_698_resized_rotated_180_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_698_resized_rotated_180_flipped_vertical.jpg
train,image_401.jpg,normal,new_dataset_raw\Normal\image_401.jpg
train,image_734_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_734_resized_flipped_horizontal.jpg
train,image_148.jpg,normal,new_dataset_raw\Normal\image_148.jpg
train,image_763_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_763_resized_flipped_vertical.jpg
train,image_400 - Copy_resized_rotated_90_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_400 - Copy_resized_rotated_90_flipped_horizontal.jpg
train,image_397.jpg,normal,new_dataset_raw\Normal\image_397.jpg
train,images (26)_resized_rotated_90_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (26)_resized_rotated_90_flipped_horizontal.jpg
train,image_440 - Copy_resized_rotated_90_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_440 - Copy_resized_rotated_90_flipped_horizontal.jpg
train,images (35)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (35)_resized_rotated_180_flipped_horizontal.jpg
train,image_764_resized_resized.jpg,combination,new_dataset_raw\Combination\image_764_resized_resized.jpg
train,image_173.jpg,normal,new_dataset_raw\Normal\image_173.jpg
train,image_284_resized_rotated_180.jpg,combination,new_dataset_raw\Combination\image_284_resized_rotated_180.jpg
train,image_413 - Copy_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_413 - Copy_resized_flipped_horizontal.jpg
train,image_395 - Copy_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_395 - Copy_resized_rotated_180_flipped_vertical.jpg
train,istockphoto-1446819788-612x612_resized_resized.jpg,oily,new_dataset_raw\Oily\istockphoto-1446819788-612x612_resized_resized.jpg
train,image_413 - Copy_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_413 - Copy_resized_rotated_180_flipped_vertical.jpg
train,image_507 - Copy_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_507 - Copy_resized_flipped_vertical.jpg
train,image_774_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_774_resized_rotated_90_flipped_vertical.jpg
train,images (9)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (9)_resized_resized.jpg
train,acne-pustular-20_resized_rotated_90.jpg,combination,new_dataset_raw\Combination\acne-pustular-20_resized_rotated_90.jpg
train,dry(40)_resized_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\dry(40)_resized_flipped_horizontal.jpg
train,images (13)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (13)_resized_rotated_180_flipped_vertical.jpg
train,image_171.jpg,normal,new_dataset_raw\Normal\image_171.jpg
train,image_373.jpg,normal,new_dataset_raw\Normal\image_373.jpg
train,oily(88)_resized_rotated_180.jpg,oily,new_dataset_raw\Oily\oily(88)_resized_rotated_180.jpg
train,images (18)_resized_rotated_90_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (18)_resized_rotated_90_flipped_vertical.jpg
train,c124_resized_rotated_180_flipped_vertical.jpg,oily,new_dataset_raw\Oily\c124_resized_rotated_180_flipped_vertical.jpg
train,image_434 - Copy_resized_resized.jpg,combination,new_dataset_raw\Combination\image_434 - Copy_resized_resized.jpg
train,c34_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\c34_resized_rotated_90_flipped_vertical.jpg
train,image_23.jpg,normal,new_dataset_raw\Normal\image_23.jpg
train,c7_resized_flipped_vertical.jpg,oily,new_dataset_raw\Oily\c7_resized_flipped_vertical.jpg
train,istockphoto-1844221377-612x612_resized_rotated_180_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\istockphoto-1844221377-612x612_resized_rotated_180_flipped_horizontal.jpg
train,image_277.jpg,normal,new_dataset_raw\Normal\image_277.jpg
train,image_282.jpg,normal,new_dataset_raw\Normal\image_282.jpg
train,image_729_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_729_resized_rotated_180_flipped_vertical.jpg
train,images (2)_resized_resized.jpg,oily,new_dataset_raw\Oily\images (2)_resized_resized.jpg
train,images (39)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (39)_resized_resized.jpg
train,c7_resized_rotated_180.jpg,oily,new_dataset_raw\Oily\c7_resized_rotated_180.jpg
train,c34_resized_rotated_90_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\c34_resized_rotated_90_flipped_horizontal.jpg
train,image_683_resized_rotated_90_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_683_resized_rotated_90_flipped_horizontal.jpg
train,image_441 - Copy_resized_rotated_90_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_441 - Copy_resized_rotated_90_flipped_horizontal.jpg
train,image_459.jpg,normal,new_dataset_raw\Normal\image_459.jpg
train,image_432 - Copy_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_432 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,image_601 - Copy_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\image_601 - Copy_resized_rotated_90_flipped_vertical.jpg
train,image_751_resized_rotated_90_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_751_resized_rotated_90_flipped_vertical.jpg
train,c2_resized_resized.jpg,oily,new_dataset_raw\Oily\c2_resized_resized.jpg
train,images (33)_resized_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (33)_resized_flipped_horizontal.jpg
train,images (29)_resized_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (29)_resized_flipped_horizontal.jpg
train,image_612_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_612_resized_rotated_90_flipped_vertical.jpg
train,image_77.jpg,normal,new_dataset_raw\Normal\image_77.jpg
train,oily(75)_resized_rotated_90_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\oily(75)_resized_rotated_90_flipped_horizontal.jpg
train,image_414.jpg,normal,new_dataset_raw\Normal\image_414.jpg
train,istockphoto-1446819788-612x612_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\istockphoto-1446819788-612x612_resized_rotated_90_flipped_vertical.jpg
train,download (2)_resized_rotated_90_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\download (2)_resized_rotated_90_flipped_horizontal.jpg
train,istockphoto-1497112165-612x612_resized_rotated_90.jpg,oily,new_dataset_raw\Oily\istockphoto-1497112165-612x612_resized_rotated_90.jpg
train,image_197.jpg,normal,new_dataset_raw\Normal\image_197.jpg
train,image_204.jpg,normal,new_dataset_raw\Normal\image_204.jpg
train,acne-pustular-21_resized_rotated_180.jpg,combination,new_dataset_raw\Combination\acne-pustular-21_resized_rotated_180.jpg
train,image_430 - Copy_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_430 - Copy_resized_flipped_vertical.jpg
train,images (3)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (3)_resized_rotated_180_flipped_horizontal.jpg
train,image_679_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_679_resized_rotated_180_flipped_horizontal.jpg
train,image_290_resized_rotated_90_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_290_resized_rotated_90_flipped_vertical.jpg
train,c86_resized_resized.jpg,oily,new_dataset_raw\Oily\c86_resized_resized.jpg
train,image_621_resized_resized.jpg,sensitive,new_dataset_raw\Sensitive\image_621_resized_resized.jpg
train,image_496.jpg,normal,new_dataset_raw\Normal\image_496.jpg
train,image_406 - Copy_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_406 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,image_784_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_784_resized_rotated_180_flipped_horizontal.jpg
train,image_392.jpg,normal,new_dataset_raw\Normal\image_392.jpg
train,oily(83)_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\oily(83)_resized_rotated_90_flipped_vertical.jpg
train,image_385 - Copy_resized_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_385 - Copy_resized_flipped_horizontal.jpg
train,image_498 - Copy_resized_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_498 - Copy_resized_flipped_horizontal.jpg
train,image_441 - Copy_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_441 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,images (23)_resized_rotated_90_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (23)_resized_rotated_90_flipped_horizontal.jpg
train,images (4)_resized_rotated_90.jpg,dry,new_dataset_raw\Dry\images (4)_resized_rotated_90.jpg
train,download (2)_resized_rotated_90.jpg,dry,new_dataset_raw\Dry\download (2)_resized_rotated_90.jpg
train,images (16)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (16)_resized_rotated_180_flipped_vertical.jpg
train,image_315 - Copy_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_315 - Copy_resized_flipped_horizontal.jpg
train,images (33)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (33)_resized_resized.jpg
train,istockphoto-846675168-612x612_resized_rotated_90_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\istockphoto-846675168-612x612_resized_rotated_90_flipped_horizontal.jpg
train,image_434 - Copy_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_434 - Copy_resized_flipped_vertical.jpg
train,c111_resized_rotated_90_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\c111_resized_rotated_90_flipped_horizontal.jpg
train,images (29)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (29)_resized_rotated_180_flipped_horizontal.jpg
train,istockphoto-1151145485-612x612_resized_rotated_180_flipped_vertical.jpg,oily,new_dataset_raw\Oily\istockphoto-1151145485-612x612_resized_rotated_180_flipped_vertical.jpg
train,image_335.jpg,normal,new_dataset_raw\Normal\image_335.jpg
train,oily(54)_resized_rotated_180_flipped_vertical.jpg,oily,new_dataset_raw\Oily\oily(54)_resized_rotated_180_flipped_vertical.jpg
train,image_278.jpg,normal,new_dataset_raw\Normal\image_278.jpg
train,image_727_resized_rotated_90_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_727_resized_rotated_90_flipped_vertical.jpg
train,image_191.jpg,normal,new_dataset_raw\Normal\image_191.jpg
train,image_756_resized_rotated_180.jpg,sensitive,new_dataset_raw\Sensitive\image_756_resized_rotated_180.jpg
train,image_556 - Copy_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_556 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,image_685_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_685_resized_rotated_180_flipped_horizontal.jpg
train,images (17)_resized_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (17)_resized_flipped_vertical.jpg
train,images (1)_resized_rotated_90_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (1)_resized_rotated_90_flipped_vertical.jpg
train,images (1)_resized_rotated_90.jpg,dry,new_dataset_raw\Dry\images (1)_resized_rotated_90.jpg
train,images (20)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (20)_resized_resized.jpg
train,image_663_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_663_resized_rotated_180_flipped_horizontal.jpg
train,image_507 - Copy_resized_rotated_180_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_507 - Copy_resized_rotated_180_flipped_vertical.jpg
train,images (2)_resized_rotated_90.jpg,oily,new_dataset_raw\Oily\images (2)_resized_rotated_90.jpg
train,image_575 - Copy_resized_rotated_90_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_575 - Copy_resized_rotated_90_flipped_horizontal.jpg
train,image_398 - Copy_resized_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_398 - Copy_resized_flipped_horizontal.jpg
train,image_22_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_22_resized_flipped_vertical.jpg
train,images (28)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (28)_resized_rotated_180_flipped_horizontal.jpg
train,image_441.jpg,normal,new_dataset_raw\Normal\image_441.jpg
train,image_295_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_295_resized_flipped_horizontal.jpg
train,c17_resized_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\c17_resized_flipped_horizontal.jpg
train,image_397 - Copy_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_397 - Copy_resized_rotated_180_flipped_vertical.jpg
train,image_285_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_285_resized_rotated_180_flipped_horizontal.jpg
train,image_552 - Copy_resized_rotated_90_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_552 - Copy_resized_rotated_90_flipped_horizontal.jpg
train,image_716_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_716_resized_flipped_vertical.jpg
train,image_238_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_238_resized_rotated_180_flipped_horizontal.jpg
train,image_395 - Copy_resized_rotated_180_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_395 - Copy_resized_rotated_180_flipped_horizontal.jpg
train,image_361.jpg,normal,new_dataset_raw\Normal\image_361.jpg
train,c17_resized_resized.jpg,oily,new_dataset_raw\Oily\c17_resized_resized.jpg
train,oily(54)_resized_resized.jpg,oily,new_dataset_raw\Oily\oily(54)_resized_resized.jpg
train,image_725_resized_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_725_resized_flipped_vertical.jpg
train,istockphoto-1401300991-612x612_resized_rotated_90_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\istockphoto-1401300991-612x612_resized_rotated_90_flipped_horizontal.jpg
train,image_605 - Copy_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_605 - Copy_resized_rotated_90_flipped_vertical.jpg
train,images (28)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (28)_resized_resized.jpg
train,istockphoto-1844221377-612x612_resized_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\istockphoto-1844221377-612x612_resized_flipped_horizontal.jpg
train,download (1)_resized_rotated_180_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\download (1)_resized_rotated_180_flipped_horizontal.jpg
train,image_663_resized_resized.jpg,combination,new_dataset_raw\Combination\image_663_resized_resized.jpg
train,images (10)_resized_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (10)_resized_flipped_vertical.jpg
train,image_443 - Copy_resized_rotated_180.jpg,combination,new_dataset_raw\Combination\image_443 - Copy_resized_rotated_180.jpg
train,images (34)_resized_rotated_90_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (34)_resized_rotated_90_flipped_vertical.jpg
